bac_spe1,nb_ocurrences
MATHS,20720
HIST_GE,17783
LLCER,11441
LIT_PHI,7951
PHY_CHI,6882
ART_PLA,4952
SES,3735
NUMERIQ,2412
CINEMA,2274
HIS_ART,1281
BIO_ECO,1235
LIT_LAT,424
DANSE,423
MUSIQUE,309
SC_INGE,300
SVT,247
LIT_GRE,209
CIRQUE,82
EPS,20
MGT_SC,10
THEATRE,9
ARTS,2
AMC,1
BAC S,1
DROI_EC,1
HLP,1
L,1
SCIENCE,1
