diplom,nom_diplome,secteur_discipline_oraccle,secteur_discipline_sise
2212495,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA TERRE ET DE L'UNIVERS,05,14
2204581,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE ET SANTE,69,07
2213707,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES APPLIQUEES A LA MONTAGNE,69,05
2214564,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DES COMMUNICATIONS,16,14
2201617,DROIT- ECONOMIE- GESTION : ECONOMIE-FINANCE,39,62
2210195,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DES COMMUNICATIONS,16,14
2200093,SCIENCES HUMAINES ET SOCIALES : SCIENCES APPLIQUEES A LA MONTAGNE,28,29
2214422,SCIENCES HUMAINES ET SOCIALES : SCIENCES APPLIQUEES A LA MONTAGNE,28,29
2214243,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES EUROPEENNES,22,17
2220045,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES EUROPEENNES,22,17
2201536,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES EUROPEENNES,22,17
2203988,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIE DU DEVELOPPEMENT DURABLE,70,05
2203987,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIE DU DEVELOPPEMENT DURABLE,16,05
2005195,ELECTRICITE ET ELECTRONIQUE,11,15
2005973,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,16,06
2002660,ELECTRICITE ET ELECTRONIQUE,15,02
2007804,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,03,43
2003669,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,13,06
2203704,SCIENCES- TECHNOLOGIES- SANTE : MANAGEMENT DE L'INNOVATION,62,39
2006731,GENIE CIVIL ET CONSTRUCTION,12,06
2003689,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,13,43
2203732,SCIENCES- TECHNOLOGIES- SANTE : SANTE,70,07
2203731,SCIENCES- TECHNOLOGIES- SANTE : SANTE,70,07
2203707,SCIENCES- TECHNOLOGIES- SANTE : MANAGEMENT DE L'INNOVATION,62,39
2203706,SCIENCES- TECHNOLOGIES- SANTE : MANAGEMENT DE L'INNOVATION,62,39
2006802,SANTE,69,06
2003782,SANTE,69,70
2003686,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,13,03
2222402,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,31,26
2214405,SCIENCES HUMAINES ET SOCIALES : URBANISME ET AMENAGEMENT DURABLES,28,29
2005234,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,25,27
2204986,DROIT- ECONOMIE- GESTION : ECONOMIE ET SOCIETE,63,38
2003640,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,14,35
2003869,ACTIVITES ET TECHNIQUES DE COMMUNICATION,14,35
2005163,MANAGEMENT DES ORGANISATIONS,39,40
2002837,LOGISTIQUE,16,38
2003191,ASSURANCE- BANQUE- FINANCE,39,38
2005162,INDUSTRIE AGRO-ALIMENTAIRE- ALIMENTATION,39,06
2005160,ACTIVITES ET TECHNIQUES DE COMMUNICATION,14,35
2003058,SYSTEMES INFORMATIQUES ET LOGICIELS,35,14
2003865,PROTECTION DE L'ENVIRONNEMENT,16,05
2214361,DROIT- ECONOMIE- GESTION : MANAGEMENT,62,39
2201280,SCIENCES- TECHNOLOGIES- SANTE : ENERGIE SOLAIRE,13,68
2224590,ARTS- LETTRES- LANGUES : LETTRES,67,19
2100907,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES FONDAMENTALES ET APPLICATIONS  (ANNEE COMMUNE),68,70
2003823,SANTE,02,06
2002576,COMMERCE,39,62
2003136,TRANSFORMATIONS INDUSTRIELLES,03,16
2002703,GESTION DE LA PRODUCTION INDUSTRIELLE,16,39
2006116,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,35,64
2006284,INDUSTRIE AGRO-ALIMENTAIRE- ALIMENTATION,06,13
2006302,INTERVENTION SOCIALE,33,66
2006160,AUTOMATIQUE ET INFORMATIQUE INDUSTRIELLE,16,14
2002704,GESTION DE LA PRODUCTION INDUSTRIELLE,16,39
2006418,SANTE,07,06
2002645,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,35,66
2006297,INTERVENTION SOCIALE,33,35
2006730,ESPACES NATURELS,69,05
2211146,SCIENCES HUMAINES ET SOCIALES : HISTOIRE- GEOGRAPHIE,27,29
2200530,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES - STIC,14,01
2211147,SCIENCES HUMAINES ET SOCIALES : POLITIQUES SOCIALES SANTE ET SOLIDARITE,27,66
2002701,GESTION DE LA PRODUCTION INDUSTRIELLE,06,16
2220704,ARTS- LETTRES- LANGUES : ETUDES CULTURELLES,23,67
9014529,DIPLOMES D'UNIVERSITE EN AMENAGEMENT- ARTS - BAC+4 A BAC+5,29,64
2215973,SCIENCES HUMAINES ET SOCIALES/ARTS- LETTRES- LANGUES : LITTERATURES- CIVILISATIONS- LANGAGE,23,19
2201781,SCIENCES- TECHNOLOGIES- SANTE : MECANIQUE,26,11
2204805,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE-CHIMIE,34,43
2204744,SCIENCES- TECHNOLOGIES- SANTE : METIERS DE L'EDUCATION ET DE LA FORMATION (MEF),34,16
2204583,SCIENCES- TECHNOLOGIES- SANTE : ECOLOGIE- BIODIVERSITE,34,05
2214493,SCIENCES- TECHNOLOGIES- SANTE : HISTOIRE- PHILOSOPHIE ET DIDACTIQUE DES SCIENCES,02,34
2204806,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE-CHIMIE,34,43
2003339,TRANSFORMATIONS INDUSTRIELLES,12,43
2005202,COMMERCE,38,39
2003496,LOGISTIQUE,40,39
2003404,COMMERCE,40,39
2002502,AMENAGEMENT DU TERRITOIRE ET URBANISME,38,29
2003408,COMMERCE,40,39
2007744,GESTION DES RESSOURCES HUMAINES,66,39
2220278,ARTS- LETTRES- LANGUES : LANGUES- LITTERATURES ET CIVILISATIONS ETRANGERES,20,23
2003259,HOTELLERIE ET TOURISME,38,39
2220279,ARTS- LETTRES- LANGUES : LANGUES- LITTERATURES ET CIVILISATIONS ETRANGERES,20,23
2214511,SCIENCES- TECHNOLOGIES- SANTE : MATERIAUX,14,03
2101871,SCIENCES- TECHNOLOGIES- SANTE : INGENIERIE DE LA SANTE,69,06
2204816,SCIENCES- TECHNOLOGIES- SANTE : SANTE PUBLIQUE ET ENVIRONNEMENT,34,07
2204663,SCIENCES- TECHNOLOGIES- SANTE : GEOSCIENCES:PLANETES- RESSOURCES ET ENVIRONNEMENT,34,06
2225147,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE ET ANTHROPOLOGIE:POLITIQUE- CULTURE ET MIGRATIONS,66,33
2215409,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE ET ANTHROPOLOGIE:POLITIQUE- CULTURE ET MIGRATIONS,66,33
2210694,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2225253,ARTS- LETTRES- LANGUES : LETTRES,18,64
2202040,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES,33,30
2215129,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2214693,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2211180,ARTS- LETTRES- LANGUES : LANGUES ETRANGERES (ALLEMAND- ANGLAIS- ESPAGNOL- ITALIEN),24,23
2210330,DROIT- ECONOMIE- GESTION : FINANCE COMPTABILITE,36,39
2220500,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2008320,AMENAGEMENT DU PAYSAGE,69,29
2211749,SCIENCES- TECHNOLOGIES- SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES,69,05
2214993,SCIENCES- TECHNOLOGIES- SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES,06,05
2214991,SCIENCES- TECHNOLOGIES- SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES,69,05
9012367,DIPLOMES D'UNIVERSITE EN PLURI LETTRES- LANGUES- SCIENCES HUMAINES - BAC+2 A BAC+3,67,25
2225606,ARTS- LETTRES- LANGUES : LETTRES,64,19
2102049,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE LA SANTE,06,07
8920001,CRPE PROFESSORAT DES ECOLES,03,34
8930004,PREPARATION CAPES HISTOIRE-GEOGRAPHIE,04,27
8930010,PREPARATION CAPES PHILOSOPHIE,02,26
2102008,ARTS- LETTRES- LANGUES : ETUDES EUROPEENNES ET INTERNATIONALES,23,65
2008310,BATIMENT ET CONSTRUCTION,29,16
2204726,SCIENCES- TECHNOLOGIES- SANTE : MATHEMATIQUES- BIOSTATISTIQUES,34,01
2225806,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES BIOLOGIQUES ET TECHNOLOGIQUES POUR LA SANTE,15,06
9016605,DIPLOMES D'UNIVERSITE EN SCIENCES DE LA VIE - BIOLOGIE- SANTE - BAC+6 ET PLUS,05,06
2205216,DROIT- ECONOMIE- GESTION : ETUDES INTERNATIONALES ET EUROPEENNES,36,37
2216376,SCIENCES HUMAINES ET SOCIALES : INGENIERIE DE LA COGNITION- DE LA CREATION ET DES APPRENTISSAGES (IC2A),35,14
2216325,DROIT- ECONOMIE- GESTION : MANAGEMENT- INNOVATION- TECHNOLOGIE (MIT),13,39
2225654,DROIT- ECONOMIE- GESTION : MANAGEMENT- INNOVATION- TECHNOLOGIE (MIT),13,39
2008594,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,67,66
2205769,DROIT- ECONOMIE- GESTION : TRAVAIL ET EMPLOI,38,62
2220255,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,26,27
2216822,SCIENCES HUMAINES ET SOCIALES : TERRITOIRES ET CULTURES,40,27
2225882,ARTS- LETTRES- LANGUES : LITTERATURES DE L'ANTIQUITE A NOS JOURS,19,64
2216755,SCIENCES HUMAINES ET SOCIALES : CONDUITE DE PROJETS CULTURELS,35,66
2216756,SCIENCES HUMAINES ET SOCIALES : CONDUITE DE PROJETS CULTURELS,35,66
2216754,SCIENCES HUMAINES ET SOCIALES : CONDUITE DE PROJETS CULTURELS,35,66
2215861,SCIENCES HUMAINES ET SOCIALES : ENSEIGNEMENT- EDUCATION ET FORMATION (EEF),66,34
2222791,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES,33,30
2205681,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2216616,DROIT- ECONOMIE- GESTION : DROIT INTERNATIONAL ET EUROPEEN,37,36
2205768,DROIT- ECONOMIE- GESTION : TOURISME,28,38
2216573,ARTS- LETTRES- LANGUES : LINGUISTIQUE ET DIDACTIQUE DES LANGUES,22,17
2216861,SCIENCES- TECHNOLOGIES- SANTE : GENIE DES SYSTEMES INDUSTRIELS,35,13
2216860,SCIENCES- TECHNOLOGIES- SANTE : GENIE DES SYSTEMES INDUSTRIELS,35,13
2206118,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,35,14
2216859,SCIENCES- TECHNOLOGIES- SANTE : GENIE DES SYSTEMES INDUSTRIELS,35,13
2006802,SANTE,07,06
2006731,GENIE CIVIL ET CONSTRUCTION,05,06
2003689,INDUSTRIES CHIMIQUES ET PHARMACEUTIQUES,03,43
2206626,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU LANGAGE ET DIDACTIQUE DES LANGUES,01,17
2206591,SCIENCES HUMAINES ET SOCIALES : DROIT CANONIQUE ET DROIT EUROPEEN COMPARE DES RELIGIONS,31,50
2206592,SCIENCES HUMAINES ET SOCIALES : DROIT CANONIQUE ET DROIT EUROPEEN COMPARE DES RELIGIONS,31,50
2206691,SCIENCES- TECHNOLOGIES- SANTE : CANCEROLOGIE,70,06
2205408,SCIENCES- TECHNOLOGIES- SANTE : BIOTECHNOLOGIE-PHARMACOLOGIE,70,06
2206715,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,35,14
2206713,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,35,15
2206714,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION,35,14
2206357,MEEF SECOND DEGRE,34,43
2206482,MEEF SECOND DEGRE,34,16
2206356,MEEF SECOND DEGRE,34,01
2206358,MEEF SECOND DEGRE,34,10
2206424,MEEF SECOND DEGRE,34,66
2300012,GEOGRAPHIE ET AMENAGEMENT,66,28
2300083,PORTAIL SCIENCES DE LA VIE ET DE LA TERRE,06,69
2300050,FRONTIERES DU VIVANT,07,06
2300087,PORTAIL SCIENCES FONDAMENTALES ET APPLICATIONS,70,68
2217064,ARTS- LETTRES- LANGUES : LANGUES ET CULTURES,25,23
2500142,TRADUCTION ET INTERPRETATION,23,24
2206815,DROIT- ECONOMIE- GESTION : ISLAMOLOGIE- DROIT ET GESTION,61,36
2206591,SCIENCES HUMAINES ET SOCIALES : DROIT CANONIQUE ET DROIT EUROPEEN COMPARE DES RELIGIONS,06,50
2202029,SCIENCES HUMAINES ET SOCIALES : DEVELOPPEMENT DES TERRITOIRES ET NOUVELLES RURALITES,28,29
2211980,SCIENCES HUMAINES ET SOCIALES : DEVELOPPEMENT DES  TERRITOIRES ET NOUVELLES RURALITES,28,29
2002434,ACTIVITES CULTURELLES ET ARTISTIQUES,35,21
2009345,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,16,35
2400037,DEVELOPPEMENT DE PROJETS DE TERRITOIRES,40,29
2400044,GESTION DE PROJETS ET STRUCTURES ARTISTIQUES ET CULTURELS,25,40
2500036,GESTION DE PATRIMOINE,36,39
2500041,ACTUARIAT,36,01
2500110,INTELLIGENCE ECONOMIQUE,35,38
2500128,INFORMATION ET MEDIATION SCIENTIFIQUE ET TECHNIQUE,11,35
2500171,PHYSIQUE FONDAMENTALE ET APPLICATIONS,43,02
2500188,OPTIQUE- IMAGE- VISION- MULTIMEDIA,06,02
2500247,VILLE ET ENVIRONNEMENTS URBAINS,02,29
2500167,METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES-MIAGE,39,14
2400062,LOGISTIQUE ET SYSTEMES D'INFORMATION,47,39
5000052,MEDECINE LEGALE ET EXPERTISES MEDICALES,7,07
2300008,SCIENCES SANITAIRES ET SOCIALES,06,70
5000602,DIPLOME D'ETAT DE TECHNICIEN DE LABORATOIRE MEDICAL,7,07
9012201,DIPLOMES D'UNIVERSITE EN MATHEMATIQUES - BAC+2,01,04
9131107,DIPLOME UNIVERSITE-3EME CYCLE-MEDECINE,91,07
9013319,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES FRANCAISES - BAC+3,33,19
2400095,METIERS DE LA MER,29,39
2300032,MATHEMATIQUES,04,01
2500111,THEOLOGIE CATHOLIQUE,31,50
9011248,DIPLOME D'UNIVERSITE EN ACCUEIL- HOTELLERIE- TOURISME - BAC+1 A BAC+2,48,39
9011146,DIPLOME D'UNIVERSITE EN RESSOURCES HUMAINES- GESTION DU PERSONNEL ET DE L'EMPLOI - BAC+1,46,39
2300032,MATHEMATIQUES,16,01
2101400,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SC DES APS OU ARTISTIQUES ET INTERVENTION,99,10
2101395,SCIENCES HUMAINES ET SOCIALES : AMENAGEMENT ET GEOGRAPHIE,99,28
2400095,METIERS DE LA MER,47,39
2300207,PORTAIL MATHEMATIQUES-INFORMATIQUE-ECONOMIE,07,90
4200004,MATHEMATIQUES APPLIQUEES ET SCIENCES SOCIALES,01,04
9090570,AUTRES DIPLOMES EN PLURI SCIENCES - BAC A BAC+5,90,70
9090566,AUTRES DIPLOMES EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC A BAC+5,90,66
9090561,AUTRES DIPLOMES EN PLURI DROIT - SCIENCES POLITIQUES - BAC A BAC+5,90,61
9090540,AUTRES DIPLOMES EN ADMINISTRATION ECONOMIQUE ET SOCIALE (AES) - BAC A BAC+5,90,40
9090562,AUTRES DIPLOMES EN PLURI SCIENCES ECONOMIQUES - GESTION - BAC A BAC+5,90,62
9090567,AUTRES DIPLOMES EN PLURI LETTRES - LANGUES - SCIENCES HUMAINES - BAC A BAC+5,90,67
9090568,AUTRES DIPLOMES EN PLURI SCIENCES FONDAMENTALES ET APPLICATIONS - BAC A BAC+5,90,68
9014402,DIPLOMES D'UNIVERSITE EN PHYSIQUE - BAC+4,90,02
9090238,AUTRES DIPLOMES EN SCIENCES ECONOMIQUES - BAC A BAC+2,91,38
2500249,METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION (MEEF)- 2e DEGRE,43,34
2500249,METIERS DE L'ENSEIGNEMENT- DE L'EDUCATION ET DE LA FORMATION (MEEF)- 2e DEGRE,01,34
2500095,HUMANITES,35,67
